Seconds,Latency
1614388397,214
1614388397,384
1614388398,396
1614388398,255
1614388398,236
1614388398,297
1614388399,260
1614388399,326
1614388399,219
1614388400,267
1614388400,335
1614388400,200
1614388400,196
1614388401,260
1614388401,403
1614388401,259
1614388401,278
1614388402,389
1614388402,145
1614388402,294
1614388403,226
1614388403,223
1614388403,191
1614388403,303
1614388403,421
1614388404,385
1614388404,267
1614388405,324
1614388405,279
1614388405,333
1614388405,330
1614388406,311
1614388406,220
1614388406,358
1614388407,287
1614388407,391
1614388407,308
1614388408,199
1614388408,291
1614388408,355
1614388409,356
1614388409,618
1614388410,283
1614388410,221
1614388410,257
1614388410,270
1614388411,673
1614388411,366
1614388412,270
1614388412,271
1614388412,581
1614388413,363
1614388413,352
1614388413,237
1614388414,313
1614388414,438
1614388414,246
1614388415,353
1614388415,316
1614388415,434
1614388416,346
1614388416,258
1614388416,279
1614388417,264
1614388417,378
1614388417,283
1614388418,280
1614388418,236
1614388418,179
1614388418,429
1614388419,330
1614388419,266
1614388419,302
1614388420,245
1614388420,317
1614388420,349
1614388421,327
1614388421,256
1614388421,271
1614388421,413
1614388422,430
1614388422,251
1614388422,291
1614388423,367
1614388423,272
1614388423,292
1614388424,331
1614388424,491
1614388425,291
1614388425,294
1614388425,376
1614388425,361
1614388426,320
1614388426,369
1614388427,367
1614388427,322
1614388427,501
1614388428,323
1614388428,351
1614388428,314
1614388429,312
1614388429,343
1614388429,410
1614388430,436
1614388430,534
1614388431,438
1614388431,325
1614388432,524
1614388432,331
1614388432,164
1614388433,322
1614388433,431
1614388433,270
1614388434,280
1614388434,314
1614388434,231
1614388434,320
1614388435,339
1614388435,159
1614388435,409
1614388436,239
1614388436,197
1614388436,99
1614388436,333
1614388436,334
1614388437,296
1614388437,362
1614388437,279
1614388438,324
1614388438,234
1614388438,352
1614388439,329
1614388439,175
1614388439,324
1614388440,245
1614388440,277
1614388440,223
1614388440,235
1614388440,353
1614388441,397
1614388441,289
1614388442,323
1614388442,244
1614388442,368
1614388442,436
1614388443,368
1614388443,263
1614388444,357
1614388444,331
1614388444,543
1614388445,364
1614388445,369
1614388446,306
1614388446,371
1614388446,495
1614388447,354
1614388447,453
1614388447,358
1614388448,362
1614388448,336
1614388449,275
1614388449,404
1614388449,617
1614388450,486
1614388450,576
1614388451,431
1614388451,338
1614388452,354
1614388452,406
1614388452,102
1614388453,430
1614388453,369
1614388453,195
1614388454,309
1614388454,293
1614388454,287
1614388454,274
1614388455,427
1614388455,98
1614388455,317
1614388456,134
1614388456,321
1614388456,379
1614388456,228
1614388457,260
1614388457,441
1614388457,471
1614388458,261
1614388458,234
1614388458,157
1614388458,355
1614388459,311
1614388459,238
1614388459,241
1614388460,281
1614388460,477
1614388460,333
1614388461,287
1614388461,279
1614388461,185
1614388461,454
1614388462,399
1614388462,347
1614388463,271
1614388463,449
1614388463,391
1614388464,543
1614388464,386
1614388465,342
1614388465,688
1614388466,445
1614388466,187
1614388466,520
1614388467,256
1614388467,373
1614388467,454
1614388468,436
1614388468,569
1614388469,336
1614388469,255
1614388470,487
1614388470,438
1614388470,469
1614388471,422
1614388471,105
1614388471,393
1614388472,308
1614388472,310
1614388472,363
1614388473,180
1614388473,358
1614388473,375
1614388474,411
1614388474,233
1614388474,317
1614388475,439
1614388475,213
1614388475,302
1614388476,435
1614388476,332
1614388476,444
1614388477,404
1614388477,142
1614388477,324
1614388478,103
1614388478,446
1614388478,358
1614388479,405
1614388479,299
1614388479,462
1614388480,458
1614388480,300
1614388481,362
1614388481,506
1614388481,392
1614388482,451
1614388482,508
1614388483,300
1614388483,340
1614388483,385
1614388484,564
1614388484,309
1614388485,304
1614388485,365
1614388485,343
1614388486,307
1614388486,467
1614388486,370
1614388487,289
1614388487,478
1614388488,424
1614388488,336
1614388488,301
1614388489,508
1614388489,496
1614388490,489
1614388490,439
1614388491,402
1614388491,355
1614388491,202
1614388492,419
1614388492,410
1614388492,323
1614388493,363
1614388493,425
1614388494,337
1614388494,259
1614388494,290
1614388494,411
1614388495,399
1614388495,297
1614388496,214
1614388496,349
1614388496,295
1614388496,331
1614388497,197
1614388497,379
1614388497,393
1614388498,389
1614388498,183
1614388498,348
1614388499,392
1614388499,287
1614388499,201
1614388499,125
1614388500,259
1614388500,478
1614388500,588
1614388501,352
1614388501,466
1614388502,409
1614388502,407
1614388503,536
1614388503,502
1614388504,398
1614388504,425
1614388504,518
1614388505,449
1614388505,433
1614388506,351
1614388506,622
1614388507,476
1614388507,304
1614388508,587
1614388508,405
1614388509,275
1614388509,650
1614388510,602
1614388510,375
1614388510,104
1614388511,390
1614388511,392
1614388511,235
1614388512,365
1614388512,499
1614388512,285
