#Timestamp,Adds,Deletes,Queries
1609650098,250,46,0
1609651874,454,64,0
1609652928,0,0,1
1609653165,0,0,1
1609687714,4502,1487,0
1609689494,113,2,0
1609691119,0,0,1
1609691532,0,0,1
1609691610,256,34,0
1609691666,0,0,1
1609691734,0,0,1
1609691806,0,0,1
1609692081,0,0,1
1609692794,0,0,1
1609692948,0,0,1
1609693301,0,0,1
1609710687,2933,1905,0
1609710715,0,0,1
1609710724,0,0,1
1609711973,0,0,1
1609712125,0,0,1
1609713528,0,0,1
1609713659,0,0,1
1609713673,358,102,0
1609713743,0,0,1
1609714479,0,0,1
1609715544,0,0,1
1609715570,0,0,1
1609715818,0,0,1
1609715818,0,0,1
1609715872,406,236,0
1609716086,0,0,1
1609717669,171,44,0
1609719469,306,95,0
1609719537,0,0,1
1609720066,0,0,1
1609720077,0,0,1
1609720121,0,0,1
1609720131,0,0,1
1609721285,163,29,0
1609721906,0,0,1
1609721908,0,0,1
1609729125,1131,333,0
1609774194,5812,3880,0
1609774762,0,0,1
1609774762,0,0,1
1609774762,0,0,1
1609774836,0,0,1
1609775031,0,0,1
1609775059,0,0,1
1609775973,269,265,0
1609777423,0,0,1
1609777716,0,0,1
1609778089,0,0,1
1609778508,322,59,0
1609778710,0,0,1
1609778710,0,0,1
1609780324,209,907,0
1609780404,0,0,1
1609802103,3858,3072,0
1609803278,0,0,1
1609803536,0,0,1
1609803705,0,0,1
1609803763,0,0,1
1609803826,0,0,1
1609803887,208,66,0
1609804072,0,0,1
1609804188,0,0,1
1609804262,0,0,1
1609804413,0,0,1
1609804614,0,0,1
1609805710,214,69,0
1609807481,278,121,0
1609809280,268,72,0
1609813868,652,280,0
1609813883,0,0,1
1609814940,0,0,1
1609814940,0,0,1
1609815078,0,0,1
1609815236,0,0,1
1609815645,215,65,0
1609817418,236,103,0
1609819062,0,0,1
1609819075,0,0,1
1609819116,0,0,1
1609819625,277,56,0
1609821418,273,150,0
1609823245,209,89,0
1609823642,0,0,1
1609823654,0,0,1
1609823683,0,0,1
1609823981,0,0,1
1609824171,0,0,1
1609824496,0,0,1
1609825049,165,188,0
1609826088,0,0,1
1609826253,0,0,1
1609826522,0,0,1
1609826596,0,0,1
1609826865,214,79,0
1609826880,0,0,1
1609827007,0,0,1
1609827043,0,0,1
1609827192,0,0,1
1609827350,0,0,1
1609827518,0,0,1
1609827586,0,0,1
1609827586,0,0,1
1609827609,0,0,1
1609827627,0,0,1
1609827965,0,0,1
1609828267,0,0,1
1609828679,0,0,1
1609828682,209,62,0
1609863302,4812,2956,0
1609865348,0,0,1
1609865377,0,0,1
1609866281,0,0,1
1609867813,651,1104,0
1609868372,0,0,1
1609868520,0,0,1
1609868535,0,0,1
1609868536,0,0,1
1609868536,0,0,1
1609868558,0,0,1
1609868637,0,0,1
1609869235,0,0,1
1609869519,0,0,1
1609869642,325,72,0
1609869894,0,0,1
1609871254,0,0,1
1609871257,0,0,1
1609871455,369,156,0
1609873248,226,313,0
1609873560,0,0,1
1609874402,0,0,1
1609874751,0,0,1
1609875031,345,124,0
1609887559,0,0,1
1609887584,0,0,1
1609887992,0,0,1
1609888315,0,0,1
1609888753,2181,809,0
1609888900,0,0,1
1609889888,0,0,1
1609890549,305,61,0
1609892340,336,91,0
1609894138,376,308,0
1609895906,0,0,1
1609895908,269,202,0
1609896042,0,0,1
1609896051,0,0,1
1609896920,0,0,1
1609897689,119,98,0
1609899365,0,0,1
1609899395,0,0,1
1609899478,0,0,1
1609899480,212,84,0
1609901262,192,51,0
1609903070,197,34,0
1609905654,0,0,1
1609906539,0,0,1
1609906948,519,194,0
1609907314,0,0,1
1609907356,0,0,1
1609908486,0,0,1
1609908486,0,0,1
1609908517,0,0,1
1609908751,192,253,0
1609909183,0,0,1
1609909358,0,0,1
1609909519,0,0,1
1609909755,0,0,1
1609909811,0,0,1
1609909811,0,0,1
1609909926,0,0,1
1609910332,0,0,1
1609910332,0,0,1
1609910563,214,46,0
1609910594,0,0,1
1609911828,0,0,1
1609912387,300,221,0
1609954244,0,0,1
1609955090,5545,4473,0
1609956898,305,209,0
1609957467,0,0,1
1609958225,0,0,1
1609958411,0,0,1
1609958714,218,33,0
1609959056,0,0,1
1609959416,0,0,1
1609959801,0,0,1
1609960252,0,0,1
1609960485,295,104,0
1609960748,0,0,1
1609961082,0,0,1
1609961451,0,0,1
1609961702,0,0,1
1609961884,0,0,1
1609962004,0,0,1
1609962289,214,33,0
1609962353,0,0,1
1609962669,0,0,1
1609966176,669,65,0
1609966408,0,0,1
1609967110,0,0,1
1609967110,0,0,1
1609967232,0,0,1
1609967389,0,0,1
1609967604,0,0,1
1609967830,0,0,1
1609968002,170,34,0
1609968443,0,0,1
1609978879,1731,1139,0
1609978980,0,0,1
1609979297,0,0,1
1609979953,0,0,1
1609980668,168,251,0
1609981862,0,0,1
1609982475,289,41,0
1609983520,0,0,1
1609984252,193,36,0
1609986024,203,63,0
